model_id,family,task,final_state,default_safe,license_status,has_code_license,has_weights_license,has_evidence_artifact,artifact_exists_on_disk,has_tutorial,tutorial_executed,has_cli,cli_help_works,python_api_works,category,counts_as_pass,counts_as_fail,counts_as_blocked,blocker_category,exact_next_command
rfdetr-seg-nano,rfdetr_seg,segment,benchmark_passed,True,Apache-2.0,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run rfdetr-seg-nano tests/assets/smoke/coco_person_car.jpg --task auto
rfdetr-seg-small,rfdetr_seg,segment,benchmark_passed,True,Apache-2.0,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run rfdetr-seg-small tests/assets/smoke/coco_person_car.jpg --task auto
rfdetr-small,rfdetr,detect,benchmark_passed,True,Apache-2.0,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run rfdetr-small tests/assets/smoke/coco_person_car.jpg --task auto
rtdetrv4-l,rtdetrv4,detect,checkpoint_required,True,Apache-2.0,True,True,True,True,False,False,True,True,True,BLOCKED,False,False,True,checkpoint,visionservex pull rtdetrv4-l --verify
rtdetrv4-m,rtdetrv4,detect,checkpoint_required,True,Apache-2.0,True,True,True,True,False,False,True,True,True,BLOCKED,False,False,True,checkpoint,visionservex pull rtdetrv4-m --verify
rtdetrv4-s,rtdetrv4,detect,checkpoint_required,True,Apache-2.0,True,True,True,True,False,False,True,True,True,BLOCKED,False,False,True,checkpoint,visionservex pull rtdetrv4-s --verify
rtdetrv4-x,rtdetrv4,detect,checkpoint_required,True,Apache-2.0,True,True,True,True,False,False,True,True,True,BLOCKED,False,False,True,checkpoint,visionservex pull rtdetrv4-x --verify
rtmdet-r-l,rtmdet,obb,sidecar_required,True,Apache-2.0,True,True,True,True,False,False,True,True,True,BLOCKED,False,False,True,sidecar,visionservex runtime prepare rtmdet-r-l --execute --runtime obb_rtmdetr2_py310
rtmdet-r-m,rtmdet,obb,sidecar_required,True,Apache-2.0,True,True,True,True,False,False,True,True,True,BLOCKED,False,False,True,sidecar,visionservex runtime prepare rtmdet-r-m --execute --runtime obb_rtmdetr2_py310
rtmdet-r-s,rtmdet,obb,sidecar_required,True,Apache-2.0,True,True,True,True,False,False,True,True,True,BLOCKED,False,False,True,sidecar,visionservex runtime prepare rtmdet-r-s --execute --runtime obb_rtmdetr2_py310
rtmdet-r-t,rtmdet,obb,sidecar_required,True,Apache-2.0,True,True,True,True,False,False,True,True,True,BLOCKED,False,False,True,sidecar,visionservex runtime prepare rtmdet-r-t --execute --runtime obb_rtmdetr2_py310
rtmdet-r2-l,rtmdet,obb,sidecar_required,True,Apache-2.0,True,True,True,True,False,False,True,True,True,BLOCKED,False,False,True,sidecar,visionservex runtime prepare rtmdet-r2-l --execute --runtime obb_rtmdetr2_py310
rtmdet-r2-m,rtmdet,obb,sidecar_required,True,Apache-2.0,True,True,True,True,False,False,True,True,True,BLOCKED,False,False,True,sidecar,visionservex runtime prepare rtmdet-r2-m --execute --runtime obb_rtmdetr2_py310
rtmdet-r2-s,rtmdet,obb,dataset_required,True,Apache-2.0,True,True,False,False,False,False,True,True,True,BLOCKED,False,False,True,dataset,visionservex dataset prepare-dota-mini --source /home/arash/datasets/DOTA --split val --limit 200 --out /home/arash/datasets/dota_mini_vsx
rtmdet-r2-t,rtmdet,obb,sidecar_required,True,Apache-2.0,True,True,True,True,False,False,True,True,True,BLOCKED,False,False,True,sidecar,visionservex runtime prepare rtmdet-r2-t --execute --runtime obb_rtmdetr2_py310
rtmpose-l,rtmpose,pose,benchmark_passed,True,Apache-2.0,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run rtmpose-l tests/assets/smoke/coco_person_car.jpg --task auto
rtmpose-l-384x288,rtmpose,pose,benchmark_passed,True,Apache-2.0,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run rtmpose-l-384x288 tests/assets/smoke/coco_person_car.jpg --task auto
rtmpose-m,rtmpose,pose,benchmark_passed,True,Apache-2.0,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run rtmpose-m tests/assets/smoke/coco_person_car.jpg --task auto
rtmpose-m-384x288,rtmpose,pose,benchmark_passed,True,Apache-2.0,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run rtmpose-m-384x288 tests/assets/smoke/coco_person_car.jpg --task auto
rtmpose-s,rtmpose,pose,benchmark_passed,True,Apache-2.0,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run rtmpose-s tests/assets/smoke/coco_person_car.jpg --task auto
rtmpose-t,rtmpose,pose,benchmark_passed,True,Apache-2.0,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run rtmpose-t tests/assets/smoke/coco_person_car.jpg --task auto
sam-vit-base,sam,foundation_segment,benchmark_passed,True,Apache-2.0,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run sam-vit-base tests/assets/smoke/coco_person_car.jpg --task auto
sam-vit-huge,sam,foundation_segment,benchmark_passed,True,Apache-2.0,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run sam-vit-huge tests/assets/smoke/coco_person_car.jpg --task auto
sam-vit-large,sam,foundation_segment,benchmark_passed,True,Apache-2.0,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run sam-vit-large tests/assets/smoke/coco_person_car.jpg --task auto
sam2-hiera-base-plus,sam2,foundation_segment,benchmark_passed,True,Apache-2.0,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run sam2-hiera-base-plus tests/assets/smoke/coco_person_car.jpg --task auto
sam2-hiera-large,sam2,foundation_segment,benchmark_passed,True,Apache-2.0,True,True,True,True,True,False,True,True,True,PASS,True,False,False,none,visionservex run sam2-hiera-large tests/assets/smoke/coco_person_car.jpg --task auto
sam2-hiera-small,sam2,foundation_segment,benchmark_passed,True,Apache-2.0,True,True,True,True,True,False,True,True,True,PASS,True,False,False,none,visionservex run sam2-hiera-small tests/assets/smoke/coco_person_car.jpg --task auto
sam2-hiera-tiny,sam2,foundation_segment,benchmark_passed,True,Apache-2.0,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run sam2-hiera-tiny tests/assets/smoke/coco_person_car.jpg --task auto
sam2.1-hiera-base-plus,sam2.1,foundation_segment,benchmark_passed,True,Apache-2.0,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run sam2.1-hiera-base-plus tests/assets/smoke/coco_person_car.jpg --task auto
sam2.1-hiera-large,sam2.1,foundation_segment,benchmark_passed,True,Apache-2.0,True,True,True,True,True,True,True,True,True,PASS,True,False,False,none,visionservex run sam2.1-hiera-large tests/assets/smoke/coco_person_car.jpg --task auto
sam2.1-hiera-small,sam2.1,foundation_segment,benchmark_passed,True,Apache-2.0,True,True,True,True,True,True,True,True,True,PASS,True,False,False,none,visionservex run sam2.1-hiera-small tests/assets/smoke/coco_person_car.jpg --task auto
sam2.1-hiera-tiny,sam2.1,foundation_segment,benchmark_passed,True,Apache-2.0,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run sam2.1-hiera-tiny tests/assets/smoke/coco_person_car.jpg --task auto
sam3-base,sam3,foundation_segment,auth_required,False,Apache-2.0,True,True,True,True,True,True,True,True,True,EXCLUDED,False,False,False,auth,visionservex run sam3-base <input> --use-auth-if-available
seem-davit-d3,seem,segment,sidecar_required,True,Apache-2.0,True,True,True,True,False,False,True,True,True,BLOCKED,False,False,True,sidecar,visionservex runtime prepare seem-davit-d3 --execute --runtime seem_xdecoder_container
seem-focal-t,seem,segment,sidecar_required,True,Apache-2.0,True,True,True,True,False,False,True,True,True,BLOCKED,False,False,True,sidecar,visionservex runtime prepare seem-focal-t --execute --runtime seem_xdecoder_container
siglip-base-patch16-224,siglip,embed,benchmark_passed,True,Apache-2.0,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run siglip-base-patch16-224 tests/assets/smoke/coco_person_car.jpg --task auto
siglip2-base-patch16-224,siglip2,embed,benchmark_passed,True,Apache-2.0,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run siglip2-base-patch16-224 tests/assets/smoke/coco_person_car.jpg --task auto
siglip2-large-patch16-256,siglip2,embed,benchmark_passed,True,Apache-2.0,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run siglip2-large-patch16-256 tests/assets/smoke/coco_person_car.jpg --task auto
siglip2-so400m-patch14-384,siglip2,embed,benchmark_passed,True,Apache-2.0,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run siglip2-so400m-patch14-384 tests/assets/smoke/coco_person_car.jpg --task auto
swinv2-base,swinv2,classify,benchmark_passed,True,MIT,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run swinv2-base tests/assets/smoke/coco_person_car.jpg --task auto
swinv2-large,swinv2,classify,benchmark_passed,True,MIT,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run swinv2-large tests/assets/smoke/coco_person_car.jpg --task auto
swinv2-small,swinv2,classify,benchmark_passed,True,MIT,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run swinv2-small tests/assets/smoke/coco_person_car.jpg --task auto
swinv2-tiny,swinv2,classify,benchmark_passed,True,MIT,True,True,True,True,False,False,True,True,True,PASS,True,False,False,none,visionservex run swinv2-tiny tests/assets/smoke/coco_person_car.jpg --task auto
